rgi_id,CenLat,CenLon,year,t2m_abl_mean,t2m_abl_std,t2m_acc_mean,t2m_acc_std,tp_abl_sum,tp_acc_sum,ssrd_abl_sum,ssrd_acc_sum,Aspect,Zmax,GLIMSId,Zmed,Slope,Zmin,Area
RGI60-06.00002,64.7951,-23.7686,1957,281.2333,2.1756063,274.7491,2.713536,0.011909485,0.02709198,7.689093e+07,2.6659274e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1958,280.93643,2.8276653,272.51755,2.8172655,0.0059833527,0.020843506,7.802956e+07,2.6065568e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1959,280.92636,1.4518005,273.7162,2.503689,0.017343521,0.032471657,6.758662e+07,2.6921672e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1960,281.53165,1.1865801,273.94943,2.6763258,0.011297226,0.021466255,7.2179816e+07,2.5371354e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1961,281.08936,1.3208563,273.47018,1.8165401,0.01243782,0.020254135,7.4231944e+07,2.841293e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1962,279.7132,1.522762,273.09808,2.3559942,0.009599686,0.023675919,7.477652e+07,2.5260462e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1963,279.4824,2.0104916,273.477,1.8604987,0.011268616,0.022697449,7.424003e+07,2.4883212e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1964,280.1356,1.6497117,274.35745,2.0722132,0.009689331,0.02432537,7.698969e+07,2.5684158e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1965,280.11728,1.4320533,273.18423,2.3067968,0.00746727,0.020191193,7.704589e+07,2.5988696e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1966,280.6261,2.1022253,272.4013,2.8205585,0.013650894,0.021690369,7.4722e+07,2.8278336e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1967,280.74472,2.0412724,272.4938,2.3204324,0.0108242035,0.023139,7.976859e+07,2.6539992e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1968,281.01587,2.0140867,272.61176,1.5433128,0.010923386,0.025515556,7.4724536e+07,2.7384812e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1969,280.75473,1.9764001,273.24225,2.3679655,0.017879486,0.020915031,6.9499624e+07,2.7483796e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1970,280.64374,1.2520341,272.98373,2.0805693,0.0134887695,0.02100277,7.125874e+07,2.5762066e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1971,281.02576,1.4417849,273.63712,1.9086412,0.010139465,0.02489376,7.492352e+07,2.4201262e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1972,281.2365,0.83200336,274.78067,1.2241783,0.016723633,0.028774261,6.747062e+07,2.4657806e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1973,280.5397,1.8379952,274.4694,1.9636718,0.013198853,0.028240204,7.300141e+07,2.32353e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1974,281.2845,1.79674,274.30222,3.0910623,0.010942459,0.032961845,7.668693e+07,2.1106518e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1975,280.09186,1.9475529,273.81708,2.6696534,0.014511108,0.023614883,7.07967e+07,2.525033e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
RGI60-06.00002,64.7951,-23.7686,1976,281.27127,1.9977388,273.83527,2.247266,0.017910004,0.03263569,6.647628e+07,2.5156856e+07,139,1415,G336231E64795N,1152,17.7,769,1.897
