rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor
RGI60-06.00045,2010-01-01_2020-01-01,150000.0,0.1283,0.3512,6,False
RGI60-06.00046,2000-01-01_2010-01-01,929000.0,-0.2094,0.2837,6,False
RGI60-06.00046,2000-01-01_2020-01-01,929000.0,-0.1408,0.1579,6,False
RGI60-06.00046,2010-01-01_2020-01-01,929000.0,-0.0722,0.3071,6,False
RGI60-06.00047,2000-01-01_2010-01-01,139000.0,-0.0357,0.4733,6,False
RGI60-06.00047,2000-01-01_2020-01-01,139000.0,-0.0755,0.2516,6,False
RGI60-06.00047,2010-01-01_2020-01-01,139000.0,-0.1153,0.4709,6,False
RGI60-06.00048,2000-01-01_2010-01-01,1803000.0,-0.0331,0.2662,6,False
RGI60-06.00048,2000-01-01_2020-01-01,1803000.0,-0.0774,0.1472,6,False
RGI60-06.00048,2010-01-01_2020-01-01,1803000.0,-0.1217,0.2878,6,False
RGI60-06.00049,2000-01-01_2010-01-01,558000.0,-0.087,0.3151,6,False
RGI60-06.00049,2000-01-01_2020-01-01,558000.0,-0.1851,0.1617,6,False
RGI60-06.00049,2010-01-01_2020-01-01,558000.0,-0.2832,0.3132,6,False
RGI60-06.00050,2000-01-01_2010-01-01,276000.0,-0.0619,0.3965,6,False
RGI60-06.00050,2000-01-01_2020-01-01,276000.0,-0.2752,0.2172,6,False
RGI60-06.00050,2010-01-01_2020-01-01,276000.0,-0.4886,0.385,6,False
RGI60-06.00051,2000-01-01_2010-01-01,349000.0,0.2997,0.3473,6,False
RGI60-06.00051,2000-01-01_2020-01-01,349000.0,0.1651,0.1826,6,False
RGI60-06.00051,2010-01-01_2020-01-01,349000.0,0.0306,0.3316,6,False
RGI60-06.00052,2000-01-01_2010-01-01,579000.0,-0.2508,0.3257,6,False
RGI60-06.00052,2000-01-01_2020-01-01,579000.0,-0.1628,0.172,6,False
RGI60-06.00052,2010-01-01_2020-01-01,579000.0,-0.0748,0.3229,6,False
RGI60-06.00053,2000-01-01_2010-01-01,199000.0,0.4641,0.3708,6,False
RGI60-06.00053,2000-01-01_2020-01-01,199000.0,-0.0594,0.1897,6,False
RGI60-06.00053,2010-01-01_2020-01-01,199000.0,-0.5829,0.3658,6,False
RGI60-06.00054,2000-01-01_2010-01-01,143000.0,0.6318,0.5029,6,False
RGI60-06.00054,2000-01-01_2020-01-01,143000.0,0.0704,0.2629,6,False
RGI60-06.00054,2010-01-01_2020-01-01,143000.0,-0.491,0.4902,6,False
RGI60-06.00055,2000-01-01_2010-01-01,768000.0,0.4046,0.3321,6,False
RGI60-06.00055,2000-01-01_2020-01-01,768000.0,-0.0705,0.1722,6,False
RGI60-06.00055,2010-01-01_2020-01-01,768000.0,-0.5457,0.3064,6,False
RGI60-06.00056,2000-01-01_2010-01-01,158000.0,0.6853,0.5231,6,False
RGI60-06.00056,2000-01-01_2020-01-01,158000.0,0.017,0.261,6,False
RGI60-06.00056,2010-01-01_2020-01-01,158000.0,-0.6514,0.4895,6,False
RGI60-06.00057,2000-01-01_2010-01-01,524000.0,-0.359,0.3438,6,False
RGI60-06.00057,2000-01-01_2020-01-01,524000.0,-0.1279,0.177,6,False
RGI60-06.00057,2010-01-01_2020-01-01,524000.0,0.1032,0.3535,6,False
RGI60-06.00058,2000-01-01_2010-01-01,642000.0,0.1989,0.3278,6,False
RGI60-06.00058,2000-01-01_2020-01-01,642000.0,0.0446,0.1627,6,False
RGI60-06.00058,2010-01-01_2020-01-01,642000.0,-0.1097,0.2911,6,False
RGI60-06.00059,2000-01-01_2010-01-01,354000.0,0.2148,0.334,6,False
RGI60-06.00059,2000-01-01_2020-01-01,354000.0,0.0602,0.1888,6,False
RGI60-06.00059,2010-01-01_2020-01-01,354000.0,-0.0944,0.3612,6,False
RGI60-06.00060,2000-01-01_2010-01-01,387000.0,-0.0451,0.298,6,False
RGI60-06.00060,2000-01-01_2020-01-01,387000.0,-0.1027,0.1697,6,False
RGI60-06.00060,2010-01-01_2020-01-01,387000.0,-0.1602,0.33,6,False
RGI60-06.00061,2000-01-01_2010-01-01,429000.0,0.199,0.3108,6,False
RGI60-06.00061,2000-01-01_2020-01-01,429000.0,-0.0495,0.1619,6,False
RGI60-06.00061,2010-01-01_2020-01-01,429000.0,-0.2979,0.3153,6,False
RGI60-06.00062,2000-01-01_2010-01-01,57000.0,0.17,0.4193,6,False
RGI60-06.00062,2000-01-01_2020-01-01,57000.0,0.2727,0.2472,6,False
RGI60-06.00062,2010-01-01_2020-01-01,57000.0,0.3753,0.4479,6,False
RGI60-06.00063,2000-01-01_2010-01-01,359000.0,-0.2136,0.3635,6,False
RGI60-06.00063,2000-01-01_2020-01-01,359000.0,-0.0695,0.1868,6,False
RGI60-06.00063,2010-01-01_2020-01-01,359000.0,0.0747,0.3562,6,False
RGI60-06.00064,2000-01-01_2010-01-01,766000.0,0.4811,0.3487,6,False
RGI60-06.00064,2000-01-01_2020-01-01,766000.0,-0.0105,0.1762,6,False
