year,rgi_id,mass_balance
1994,RGI60-06.00081,511.79435907451307
1995,RGI60-06.00081,552.0806055662297
1996,RGI60-06.00081,-1000.1215755759762
1997,RGI60-06.00081,251.8453149304287
1998,RGI60-06.00081,1156.0379386620634
1999,RGI60-06.00081,467.67241424126615
2000,RGI60-06.00081,286.97982978065374
2001,RGI60-06.00081,549.8276116431158
2002,RGI60-06.00081,-260.2756229773753
2003,RGI60-06.00081,-619.3528051961179
2004,RGI60-06.00081,-399.068842421492
2005,RGI60-06.00081,279.1262218681936
2006,RGI60-06.00081,-386.1700407155586
2007,RGI60-06.00081,102.39530958200196
2008,RGI60-06.00081,-657.0588458855702
2009,RGI60-06.00081,331.05923467423247
2010,RGI60-06.00081,-1219.15951719686
2011,RGI60-06.00081,567.0480656070976
2012,RGI60-06.00081,535.2092691968608
2013,RGI60-06.00081,420.5988439590351
2014,RGI60-06.00081,-734.3057326810025
2015,RGI60-06.00081,706.6072921787493
2016,RGI60-06.00081,-912.806652231788
2017,RGI60-06.00081,-538.1609029819568
2018,RGI60-06.00081,124.26283410279814
2019,RGI60-06.00081,357.2444496949853
2020,RGI60-06.00081,1050.7270534440252
2021,RGI60-06.00081,-139.79039314102243
2022,RGI60-06.00081,687.5821434297831
2023,RGI60-06.00081,63.242699423387954
2024,RGI60-06.00081,1195.563879508128
2025,RGI60-06.00081,-378.8045407548654
1940,RGI60-06.00082,1030.1049659034395
1941,RGI60-06.00082,-753.9606428807025
1942,RGI60-06.00082,1307.6954066692624
1943,RGI60-06.00082,2288.391558056345
1944,RGI60-06.00082,975.883037790276
1945,RGI60-06.00082,697.4550529535136
1946,RGI60-06.00082,1236.7141417886069
1947,RGI60-06.00082,972.7804806604544
1948,RGI60-06.00082,1242.3652982404303
1949,RGI60-06.00082,766.86145201222
1950,RGI60-06.00082,515.5900534022422
1951,RGI60-06.00082,974.6056135277476
1952,RGI60-06.00082,1797.9445192131782
1953,RGI60-06.00082,702.0524863794599
1954,RGI60-06.00082,792.6020054334545
1955,RGI60-06.00082,-107.7032953637158
1956,RGI60-06.00082,1186.4297528634145
1957,RGI60-06.00082,899.1824998903153
1958,RGI60-06.00082,718.8958231522629
1959,RGI60-06.00082,1436.568447072738
1960,RGI60-06.00082,899.8563360766179
1961,RGI60-06.00082,1372.8785579698863
1962,RGI60-06.00082,1210.2278123272124
1963,RGI60-06.00082,1335.7036996329305
1964,RGI60-06.00082,1506.2167588034372
1965,RGI60-06.00082,644.3679799261896
1966,RGI60-06.00082,1340.6715716844503
1967,RGI60-06.00082,1485.6412468002352
1968,RGI60-06.00082,540.2852011814633
1969,RGI60-06.00082,211.697174198882
1970,RGI60-06.00082,1841.9043993761077
1971,RGI60-06.00082,1221.1110257464477
1972,RGI60-06.00082,1718.247098374523
1973,RGI60-06.00082,1754.1664848330963
1974,RGI60-06.00082,1894.7427300120123
1975,RGI60-06.00082,1242.956948954332
1976,RGI60-06.00082,340.9317004015531
1977,RGI60-06.00082,871.3504125183955
1978,RGI60-06.00082,545.7239711542162
1979,RGI60-06.00082,1867.0636120424865
1980,RGI60-06.00082,133.02344364681588
1981,RGI60-06.00082,1006.371238300472
1982,RGI60-06.00082,1049.8733077219297
1983,RGI60-06.00082,1785.0522112007109
1984,RGI60-06.00082,-322.4384914443229
1985,RGI60-06.00082,897.598681026054
1986,RGI60-06.00082,605.6371465818128
1987,RGI60-06.00082,67.81210605449051
1988,RGI60-06.00082,64.38938653021488
1989,RGI60-06.00082,965.525130040586
1990,RGI60-06.00082,612.3722553413628
1991,RGI60-06.00082,711.2685943359817
1992,RGI60-06.00082,1687.8803568352944
1993,RGI60-06.00082,1014.3414009186448
1994,RGI60-06.00082,556.6185017597055
1995,RGI60-06.00082,611.0839239093247
1996,RGI60-06.00082,-949.3647244584834
1997,RGI60-06.00082,293.83183295386056
1998,RGI60-06.00082,1207.5806664197307
1999,RGI60-06.00082,522.2454628962599
2000,RGI60-06.00082,339.8275837068288
2001,RGI60-06.00082,601.1933900550445
2002,RGI60-06.00082,-202.9433306067119
2003,RGI60-06.00082,-569.5837513291384
2004,RGI60-06.00082,-335.1615018721975
2005,RGI60-06.00082,339.2639905691108
2006,RGI60-06.00082,-327.4600117328259
2007,RGI60-06.00082,155.53024924467002
2008,RGI60-06.00082,-599.1399777194501
2009,RGI60-06.00082,387.4711852846298
2010,RGI60-06.00082,-1166.817953942363
